time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:47:36:915, 
6.6531,1.28204,-5.34602,8.49306
6.6731,1.42808,-5.02641,8.09325
6.7013,1.60285,-4.81812,8.19380
6.7196,1.72255,-4.87319,8.25485
6.7204,2.05174,-5.06591,8.63192
6.7512,2.35699,-5.12217,8.81866
6.7861,2.35938,-5.01205,8.56728
6.7861,2.23968,-4.89593,8.10762
6.8012,2.10202,-4.91987,8.02622
6.8515,1.94281,-5.00606,8.13515
6.8532,1.77403,-5.02402,8.17106
6.8898,1.58968,-5.30652,7.82511
6.8899,1.54060,-5.33046,7.81194
6.9014,1.25810,-5.21914,7.86102
6.9192,0.92053,-5.42862,7.44804
6.9483,0.58057,-5.64050,7.40375
6.9694,0.29208,-5.40947,7.92207
6.9864,0.54825,-5.04676,7.67668
7.0027,0.45967,-5.13055,7.34270
7.0282,0.03112,-5.18562,7.53303
7.0508,-0.12210,-5.00247,7.37861
7.0869,-0.22026,-4.43746,7.32714
7.0869,-0.47762,-4.02448,7.84307
7.1007,-0.34475,-4.21242,8.07769
7.1191,0.04908,-4.64814,7.84666
7.1483,0.21547,-4.47577,8.18542
7.1862,0.21427,-3.93710,8.79472
7.1862,0.36031,-4.18848,8.87852
7.2016,0.44411,-4.86002,8.51701
7.2453,0.26096,-5.06472,8.50144
7.2462,0.06464,-4.95219,8.73128
7.2671,0.08140,-5.15210,8.65467
7.2847,-0.10414,-5.43460,8.51581
7.3017,-0.36271,-5.19519,8.34583
7.3192,-0.54346,-5.07549,8.14951
7.3510,-0.74217,-5.41665,7.90053
7.3873,-0.82357,-5.23589,8.13156
7.3873,-0.67992,-4.74989,8.41885
7.4053,-0.57937,-4.78102,8.26323
7.4238,-0.47164,-5.09704,8.22133
7.4438,-0.32799,-5.06591,8.46434
7.4830,-0.37228,-5.05394,8.61038
7.4831,-0.62965,-5.23111,8.39491
7.5032,-0.73738,-5.40588,8.21894
7.5280,-0.94327,-5.49087,8.13395
7.5552,-1.17550,-5.58184,7.74611
7.5627,-1.49990,-5.69197,7.42769
7.5865,-1.84944,-5.60099,7.30679
7.6026,-1.95837,-5.33405,7.49951
7.6240,-1.75128,-5.26462,7.52346
7.6517,-1.49631,-5.36278,7.40255
7.6517,-1.13001,-5.06950,7.64436
7.6855,-0.79484,-4.69722,8.00108
7.7074,-0.44530,-4.75109,8.08846
7.7201,-0.23582,-4.98092,8.22373
7.7414,-0.18913,-4.91748,8.39132
7.7512,-0.10654,-4.83728,8.36019
7.7860,-0.05506,-4.97015,8.41765
7.8010,-0.01077,-5.18322,8.35780
7.8211,-0.15562,-5.22512,8.25246
