time,X_value,Y_value,Z_value
Started:,Dec 05 2019,19:04:11:855, 
3.9565,-3.90956,-4.69722,7.74132
3.9790,-3.81141,-4.49971,7.82990
4.0002,-3.65818,-4.44584,7.93165
4.0124,-3.67734,-4.36923,7.96158
4.0527,-3.70008,-4.26150,8.14113
4.0527,-3.63903,-4.20164,8.33146
4.0723,-3.58516,-3.93710,8.34224
4.1312,-3.67015,-4.00054,8.30752
4.1313,-3.82338,-4.04962,8.14113
4.1313,-3.80781,-3.70846,8.42124
4.1527,-3.72163,-3.75754,8.27640
4.1781,-3.83056,-3.76831,8.15430
4.1916,-3.74916,-3.72402,8.11480
4.2440,-3.78986,-3.69290,8.07769
4.2495,-3.62706,-3.52770,8.24528
4.2495,-3.76113,-3.49778,8.25366
4.3007,-3.71085,-3.27752,8.40209
4.3008,-3.69649,-3.01896,8.65946
4.3102,-3.87245,-2.93516,9.20651
4.3327,-4.19326,-2.88489,9.14665
4.3525,-4.49013,-2.61076,8.72050
4.3688,-4.41232,-2.36298,8.84141
4.4008,-4.35726,-2.05174,9.06286
4.4277,-4.42549,-1.95598,8.95632
4.4277,-4.21242,-2.48986,9.00301
4.4530,-4.26509,-2.45754,9.21608
4.4874,-4.18249,-2.27200,9.80383
4.4875,-4.33691,-2.86574,9.55964
4.5337,-4.91508,-3.71444,8.77557
4.5338,-4.99170,-5.56389,7.99988
4.5479,-4.64695,-8.03340,6.84233
4.5758,-4.46380,-10.95899,6.97401
4.5996,-4.71637,-13.44646,6.43534
4.6072,-3.88323,-14.14433,6.00320
4.6547,-3.48581,-13.77445,4.85044
4.6547,-3.60432,-12.59416,3.51095
4.6654,-3.19852,-10.69085,3.00340
4.6954,-2.22651,-8.79831,3.18415
4.7260,-1.21261,-7.47916,3.83415
4.7260,-0.33158,-6.44850,4.69363
4.7532,-0.11252,-5.61656,5.53276
4.7740,-0.22983,-4.89952,6.50955
4.7855,-0.24540,-4.72715,7.46241
4.8247,-0.49079,-4.99888,7.61683
4.8439,-1.10368,-4.93783,7.49353
4.8439,-1.47716,-4.79299,7.66231
4.8668,-1.74769,-4.87798,7.91130
4.8959,-2.09962,-4.98451,7.73055
4.9061,-2.18701,-4.77144,7.85504
4.9334,-1.74290,-4.37402,8.23091
4.9540,-1.57771,-4.22199,8.64389
4.9625,-1.61362,-4.21481,8.78036
4.9998,-1.58968,-4.29262,8.84500
5.0015,-1.80276,-4.28424,8.63073
5.0241,-1.87817,-3.94308,8.53137
5.0520,-1.71896,-3.79465,8.70853
5.0669,-2.00386,-4.30220,8.65826
5.0815,-2.35220,-4.81214,8.47032
5.1329,-2.36537,-4.52365,8.38892
5.1330,-2.24566,-3.96942,8.33625
5.1398,-2.10561,-3.96942,8.59481
5.1808,-2.10800,-4.37402,8.64748
5.2010,-2.08526,-4.36564,8.59481
5.2010,-2.07688,-4.09989,8.50264
5.2300,-2.11040,-4.15496,8.50982
5.2524,-2.15349,-4.30220,8.31111
5.2596,-2.13913,-4.24234,8.25126
5.3018,-2.05174,-4.06518,8.47391
