time,X_value,Y_value,Z_value
Started:,Dec 05 2019,19:07:54:830, 
5.1584,-2.72089,-6.26655,7.98552
5.1830,-3.04649,-6.72861,6.58617
5.2035,-3.05367,-7.53303,5.37475
5.2181,-3.28470,-8.47631,4.97853
5.2312,-3.90478,-9.65420,5.09345
5.2676,-4.03047,-10.41433,4.34050
5.2788,-4.29741,-10.36166,3.80781
5.2907,-4.23037,-9.69371,3.74437
5.3382,-3.67374,-9.00301,3.69649
5.3383,-3.11233,-8.51701,3.86886
5.3596,-2.59161,-8.30633,4.29501
5.3854,-2.29235,-8.19859,4.94022
5.4071,-2.23729,-8.21296,5.23350
5.4290,-2.05055,-7.98552,5.37236
5.4290,-1.82909,-7.51627,5.40827
5.4553,-1.94281,-6.97042,5.51959
5.4735,-2.09962,-6.46407,5.86315
5.4935,-2.28756,-5.99961,6.20550
5.5144,-2.17145,-5.50882,6.62208
5.5337,-1.80036,-5.24906,7.15117
5.5602,-1.75248,-5.30293,7.84426
5.5727,-1.95957,-5.49326,8.35780
5.6027,-1.86261,-5.66324,8.43680
5.6027,-1.81951,-5.67880,8.33266
5.6256,-1.86141,-5.59381,8.45476
5.6715,-2.10202,-5.66923,8.49426
5.6732,-2.32706,-5.77217,8.25126
5.6830,-2.43719,-5.79731,7.99270
5.7428,-2.40248,-5.78295,7.84546
5.7428,-2.27320,-5.88469,7.84067
5.7517,-2.21574,-5.89188,7.85384
5.7823,-2.16427,-5.86674,7.83469
5.7823,-2.22771,-5.90145,7.77843
5.8103,-2.23130,-6.07263,7.65992
5.8250,-2.14751,-6.17438,7.48036
5.8712,-2.16427,-6.16480,7.31158
5.8712,-2.25045,-6.25099,7.31996
5.8821,-2.22771,-6.29289,7.26729
5.9406,-2.17264,-6.32641,7.14040
5.9406,-2.27080,-6.35274,7.00513
5.9619,-2.26242,-6.33598,6.92014
5.9619,-2.04576,-6.15403,6.77530
5.9831,-1.97513,-6.05468,6.77171
6.0056,-2.15349,-6.03672,6.93810
6.0253,-2.09125,-5.94574,6.89022
6.0486,-1.90570,-5.92300,6.96683
6.0681,-1.83747,-5.89188,6.95486
6.0840,-1.83986,-5.88350,7.03626
6.1079,-1.88894,-5.83083,7.19307
6.1368,-1.77882,-5.69077,7.31158
6.1589,-1.78480,-5.70035,7.36544
6.1589,-1.81592,-5.71232,7.36305
6.1823,-1.77762,-5.65127,7.46480
6.2081,-1.80874,-5.62015,7.50670
6.2284,-1.82550,-5.68718,7.47318
6.2663,-1.81233,-5.67521,7.60964
6.2664,-1.84824,-5.68239,7.62760
6.2822,-1.86261,-5.70633,7.59528
6.3444,-1.92126,-5.75302,7.55578
6.3459,-1.93443,-5.72070,7.60485
6.3470,-1.98710,-5.72309,7.60725
6.3606,-2.00865,-5.78175,7.64316
6.3829,-2.00506,-5.82245,7.70900
6.4061,-1.94521,-5.83801,7.65274
6.4257,-2.06371,-5.85118,7.59887
6.4658,-2.12716,-5.88230,7.52226
6.4659,-2.20975,-5.84160,7.39058
6.4841,-2.25524,-5.81287,7.40854
6.5243,-2.20736,-5.82724,7.31876
6.5243,-2.10322,-5.86315,7.41093
6.5589,-2.20018,-5.86913,7.44684
6.5589,-2.16546,-5.87392,7.34749
6.5843,-2.03618,-5.88110,7.40016
6.6043,-2.09005,-5.81407,7.44565
6.6280,-2.02660,-5.82365,7.46360
6.6318,-2.00985,-5.81407,7.40136
6.6709,-2.02660,-5.89667,7.35347
6.6817,-2.01823,-5.96609,7.31277
6.6923,-1.94880,-5.91342,7.29362
6.7516,-1.90810,-5.86315,7.33791
6.7516,-1.90331,-5.85716,7.30799
6.7592,-1.86620,-5.86674,7.42530
6.7830,-1.86141,-5.87871,7.54500
6.8022,-1.79318,-5.86913,7.55218
6.8204,-1.73931,-5.84040,7.56296
6.8310,-1.73452,-5.85956,7.56416
6.8693,-1.85184,-5.91462,7.58091
6.8815,-1.86261,-5.91342,7.59887
6.8937,-1.94401,-5.98644,7.53662
6.9410,-2.04576,-6.08939,7.47198
6.9410,-2.02301,-6.10495,7.50670
6.9587,-2.03020,-6.14685,7.48874
6.9819,-2.12237,-6.19952,7.44565
6.9993,-2.15349,-6.17318,7.40255
7.0279,-2.12955,-6.13248,7.28644
7.0305,-2.09125,-6.07742,7.25053
7.0518,-2.03379,-6.01757,7.35347
7.0824,-1.96556,-5.98166,7.40734
7.0919,-1.94521,-6.04510,7.43009
7.1171,-1.92964,-6.04271,7.35108
7.1368,-1.98231,-6.07742,7.29482
7.1600,-2.02421,-6.17199,7.26370
7.1774,-2.00745,-6.20431,7.14878
7.2057,-1.96196,-6.25578,7.21222
7.2256,-1.94281,-6.25339,7.21462
7.2256,-1.95598,-6.36112,7.24454
7.2662,-1.95119,-6.42217,7.22659
7.2823,-1.95358,-6.48322,7.15716
7.2918,-1.98351,-6.48920,7.14638
7.3359,-1.98590,-6.55385,7.02189
7.3359,-1.99069,-6.65919,7.03267
7.3481,-1.95837,-6.61011,7.08294
7.3821,-2.02660,-6.68432,7.07696
7.4041,-2.12596,-6.86508,6.80523
7.4151,-2.13554,-6.92254,6.68193
7.4255,-2.25285,-6.94289,6.52751
7.4740,-2.45635,-7.05182,6.33119
7.4741,-2.54612,-7.20743,6.15882
7.4933,-2.47310,-7.24694,6.05707
7.5369,-2.50423,-7.22300,6.04869
7.5369,-2.61795,-7.27207,6.10974
7.5604,-2.58802,-7.25412,5.98764
7.5837,-2.54612,-7.10569,5.86554
7.5932,-2.52937,-6.90099,5.98285
7.6257,-2.61675,-6.79685,6.12650
7.6257,-2.60598,-6.83395,6.29289
7.6516,-2.60717,-6.99556,6.39224
7.6726,-2.50064,-7.03147,6.34077
7.6843,-2.46233,-6.95007,6.51315
7.7120,-2.50064,-6.89141,6.76572
7.7398,-2.43001,-6.81480,6.91176
7.7592,-2.30073,-6.75375,6.78248
7.7592,-2.29474,-6.71305,6.74059
7.7820,-2.35938,-6.52152,6.83755
7.8074,-2.34741,-6.05348,6.97760
7.8279,-2.20137,-5.82365,7.16913
7.8690,-1.99189,-5.94335,7.11167
7.8690,-1.92845,-5.90504,6.95605
7.8820,-2.09125,-5.69077,6.97999
7.9416,-2.39769,-5.52199,7.13920
7.9416,-2.48388,-5.56987,7.35467
7.9497,-2.60478,-5.66923,7.43248
7.9601,-2.77356,-5.75182,7.44445
7.9830,-2.79272,-5.79731,7.39178
8.0071,-2.81905,-5.92539,7.33911
8.0255,-3.04888,-6.06545,7.28405
8.0687,-3.14944,-5.98166,7.22778
