time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:01:05:811, 
5.4043,-5.91103,-4.13341,6.30127
5.4276,-5.93736,-4.14538,6.31683
5.4375,-5.86794,-4.12144,6.14206
5.4893,-5.90504,-4.12144,6.11692
5.4910,-5.90624,-4.18249,6.10735
5.4998,-5.94096,-4.20523,6.06665
5.5541,-6.10615,-4.37522,6.15762
5.5542,-6.04749,-4.42549,6.08939
5.5559,-6.14685,-4.48654,6.13248
5.6042,-6.22346,-4.56076,6.18396
5.6042,-6.10256,-4.49133,6.10136
5.6180,-5.99482,-4.46260,6.12291
5.6536,-5.85836,-4.34409,6.08700
5.6763,-5.91941,-4.35127,6.07622
5.6764,-5.88829,-4.39916,6.05228
5.6947,-5.91702,-4.42070,6.13368
5.7358,-5.91223,-4.41472,6.14805
5.7359,-5.96370,-4.40035,6.16959
5.7618,-5.91582,-4.38479,6.15523
5.7950,-5.97328,-4.37641,6.17079
5.7950,-5.94574,-4.33691,6.12530
5.8241,-5.98764,-4.36923,6.21628
5.8530,-5.94814,-4.33092,6.19952
5.8530,-6.02236,-4.35487,6.24620
5.8932,-6.00679,-4.39317,6.24501
5.8942,-6.03552,-4.36564,6.25339
5.9119,-6.08221,-4.42789,6.22825
5.9532,-6.03433,-4.38599,6.24501
5.9533,-6.01517,-4.37282,6.23423
5.9724,-6.05946,-4.46260,6.24501
6.0026,-6.13727,-4.47218,6.31683
6.0287,-6.10854,-4.43986,6.24022
6.0312,-6.05228,-4.38599,6.23663
6.0569,-5.92061,-4.33092,6.23543
6.0912,-5.91462,-4.29741,6.23304
6.0913,-5.92300,-4.30818,6.26177
6.1499,-5.96729,-4.36684,6.30725
6.1499,-5.93497,-4.37761,6.29887
6.1500,-6.01278,-4.43986,6.27613
6.2012,-6.00679,-4.43267,6.33718
6.2012,-5.98405,-4.41592,6.33239
6.2094,-6.00799,-4.39197,6.29169
6.2533,-6.01039,-4.41951,6.24979
6.2533,-6.04510,-4.47936,6.26416
6.2693,-6.04510,-4.50689,6.24142
6.2951,-6.03193,-4.49612,6.23064
6.3292,-5.97447,-4.48056,6.21508
6.3292,-5.94934,-4.48415,6.21388
6.3530,-5.88589,-4.49372,6.23543
6.3881,-5.87871,-4.50091,6.20311
6.3881,-5.87512,-4.50210,6.18037
6.4302,-5.91821,-4.53682,6.20431
6.4315,-5.92899,-4.57512,6.20910
6.4477,-5.93497,-4.56196,6.22585
