time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:55:46:145, 
3.9804,-0.04309,-2.64309,10.30181
4.0045,-0.24061,-3.19373,9.36332
4.0398,-0.52550,-3.07642,8.75043
4.0398,-0.91095,-2.09603,9.29988
4.0646,-0.25258,-0.68352,9.96663
4.0989,0.73619,-0.11731,9.74039
4.0989,0.43812,-0.51234,9.25918
4.1385,-0.33158,-0.87145,9.35374
4.1401,-0.67633,-0.62366,9.71765
4.1602,-0.23462,0.10534,9.47584
4.2036,-0.24540,0.27772,9.23045
4.2036,-0.61169,-0.31842,9.27354
4.2170,-0.91095,-1.01510,9.07483
4.2644,-1.12044,-0.64401,8.92161
4.2653,-0.40221,-0.06584,9.39444
4.2758,0.65957,-0.52191,9.87685
4.3182,1.45441,-0.82118,9.74877
4.3182,1.17909,-0.10773,9.78708
4.3374,0.67394,-0.25138,10.02289
4.3675,0.48959,-1.24852,10.30181
4.3980,1.07854,-1.17191,10.16534
4.3980,1.30718,-0.48361,10.29103
4.4182,0.85469,-0.78526,10.57952
4.4557,-0.50276,-1.50230,10.11148
4.4557,-0.64641,-0.92532,10.06479
4.5142,0.45009,-0.84272,10.20245
4.5142,0.99475,-1.68185,10.28505
4.5142,0.36271,-2.00386,10.46939
4.5459,-0.35552,-1.14558,10.31258
4.5821,-0.21786,-1.41252,9.94868
4.5821,0.26694,-2.08047,10.36525
4.6040,0.88462,-2.20856,10.53882
4.6179,0.73140,-1.64115,10.24076
4.6332,0.36989,-1.28803,9.77151
4.6648,0.41418,-1.54539,9.45070
4.6954,0.65838,-1.83747,9.37529
4.6954,1.05340,-1.60165,9.44592
4.7183,1.06537,-0.90138,9.38367
4.7373,0.67992,-0.63085,9.23524
4.7525,0.26215,-0.89060,8.93478
4.8032,0.64760,-0.94327,8.57087
4.8032,1.13001,-0.61768,8.66544
4.8099,1.38499,-0.21547,8.70135
4.8653,1.04742,0.02274,8.39970
4.8653,0.99954,-0.24540,8.44399
4.8707,1.39456,-0.28849,8.73008
4.9182,1.65073,-0.44770,8.72170
4.9182,1.48314,-0.49199,9.16341
4.9300,1.62679,0.11372,9.37170
4.9693,1.14558,0.51353,9.05568
4.9926,0.98278,0.26096,8.96949
4.9926,1.59686,0.62366,9.19813
5.0193,1.35745,0.76013,9.49260
5.0488,0.93968,0.48959,8.98386
5.0488,1.07495,0.20350,8.81507
5.0694,1.23775,0.41538,9.43395
5.1109,1.08333,0.55663,9.97022
5.1109,0.54226,0.39862,9.75356
5.1382,0.24899,0.22744,9.15623
5.1682,0.10534,-0.14484,9.17419
5.1682,0.16639,-0.22624,9.59914
5.2032,0.23702,-0.08619,9.92234
5.2179,0.46206,0.12330,9.65301
5.2271,0.50037,0.22505,9.38128
5.2649,0.45248,0.26335,8.81148
5.2739,0.21786,0.05028,9.07962
5.2879,0.48121,0.10893,9.45430
5.3181,0.55184,0.17836,9.35255
5.3374,0.45488,0.21188,8.98625
5.3458,0.40101,0.09217,8.84739
5.3681,0.51114,0.01915,9.14905
5.4089,0.76372,-0.11851,9.57879
5.4111,0.64760,-0.26814,9.53809
5.4653,0.46446,-0.23821,9.31544
5.4654,0.32560,-0.21188,9.40282
5.4654,0.32081,0.04309,9.53809
5.5177,0.26455,0.12330,9.47465
5.5177,0.22265,0.11133,9.23404
5.5240,0.13168,-0.08738,9.17060
5.5684,0.29807,-0.06943,9.31065
5.5684,0.48361,0.01436,9.34656
5.5836,0.58416,-0.01915,9.28671
5.6032,0.57578,0.05626,9.01139
5.6431,0.49318,0.07661,8.92400
5.6431,0.33158,-0.08738,9.21728
5.6654,0.43333,-0.30525,9.32980
5.7053,0.58655,-0.21427,9.08441
5.7053,0.51353,-0.05387,8.66784
5.7373,0.19272,-0.07781,8.61157
5.7615,0.16040,-0.11970,8.92161
5.7615,0.31722,-0.33278,9.26396
5.8033,0.36630,-0.61169,9.14665
5.8033,0.40341,-0.82237,8.80550
5.8202,0.24779,-0.91215,8.98745
5.8723,-0.05028,-1.10248,9.25439
5.8732,-0.17118,-1.08213,8.92161
5.8806,-0.03352,-0.81639,8.44040
5.9187,-0.01915,-0.91814,8.33865
5.9389,-0.08379,-1.20663,8.74684
5.9389,-0.17357,-1.46399,8.99224
5.9691,-0.35193,-1.70939,8.98266
5.9991,-0.25018,-1.98112,9.08680
6.0011,-0.08260,-2.06730,9.28192
6.0596,-0.25737,-2.22891,9.33459
6.0596,-0.31842,-2.45036,9.44831
