time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:55:49:476, 
4.5884,-0.12928,-4.68405,6.34436
4.6018,0.14365,-4.60026,6.45688
4.6337,-0.08619,-4.54998,6.33359
4.6338,-0.40460,-5.03599,5.58304
4.6616,-0.11013,-5.58064,5.81407
4.6814,0.32919,-5.61177,6.04869
4.7012,0.21667,-5.30173,5.56987
4.7218,0.25018,-5.45376,5.26941
4.7387,1.03664,-5.58783,6.74537
4.7673,1.30000,-5.43460,7.26489
4.7803,1.12403,-5.16527,7.41811
4.8203,1.11206,-5.54593,7.15357
4.8349,1.50110,-6.20311,7.01112
4.8349,1.55257,-6.12650,7.40136
4.8789,0.75893,-5.31131,8.32668
4.8790,-0.20110,-5.22632,9.05089
4.8980,-0.69189,-5.79731,8.95632
4.9416,-0.85828,-5.75900,8.58883
4.9416,-0.89300,-5.33166,8.91203
4.9624,-0.55064,-5.28497,9.73441
4.9691,-0.31482,-5.36757,10.10669
4.9879,-0.49797,-5.12936,10.28265
5.0177,-0.15322,-4.63497,10.79379
5.0338,0.55663,-4.40634,10.82851
5.0789,0.72302,-4.54879,10.41074
5.0789,0.36510,-4.70560,10.05761
5.1090,-0.09576,-4.23636,10.04205
5.1357,-0.66317,-3.94188,10.06359
5.1357,-0.83793,-4.04722,9.56203
5.1678,-0.87145,-3.91076,9.12750
5.1678,-1.15994,-3.87964,9.24362
5.1880,-1.15036,-4.19925,9.19334
5.2145,-0.49318,-4.36325,8.89168
5.2344,0.13886,-4.25910,8.79233
5.2540,0.49438,-4.43626,9.29988
5.2856,0.72182,-4.96057,9.50816
5.3002,0.93250,-5.29934,9.39564
5.3146,1.42329,-5.28497,9.17060
5.3385,1.88176,-5.24786,8.56728
5.3695,1.71178,-5.35440,7.99030
5.3713,1.11206,-5.65007,7.59528
5.3893,0.70027,-5.85836,7.17511
5.4128,0.69668,-5.95293,6.35992
5.4329,0.27173,-6.27134,6.78488
5.4823,-0.34714,-6.61370,7.63478
5.4823,-0.22385,-6.57898,8.03460
5.4935,0.16519,-6.46167,7.80117
5.5385,0.26814,-6.52392,7.67069
5.5395,0.32081,-6.53948,7.75927
5.5520,0.50875,-6.43653,7.64316
5.5672,0.40819,-6.60652,7.73174
5.5880,0.16759,-6.73580,7.91369
5.6111,0.16400,-6.56462,7.74132
5.6338,0.04549,-6.41858,7.68985
5.6794,-0.11372,-6.21149,7.53543
5.6794,0.07541,-5.99243,7.74132
5.7023,0.06584,-5.54713,7.70182
5.7023,-0.06584,-5.48488,7.85863
5.7294,-0.20709,-5.45974,7.93883
5.7483,-0.17477,-5.31849,8.05973
5.7680,-0.18794,-5.29335,8.36977
5.7895,-0.33517,-5.27899,8.29196
5.8113,-0.36630,-5.12936,8.12557
5.8369,-0.59972,-5.03000,8.10163
5.8474,-0.79005,-5.19280,8.36019
5.8791,-0.88462,-5.34363,8.41167
5.9006,-0.87385,-5.41306,8.51461
5.9006,-0.74576,-5.32807,8.54095
5.9408,-0.74576,-5.34483,8.60080
5.9421,-0.89180,-5.25744,8.49426
5.9706,-0.70147,-5.03838,8.49546
5.9872,-0.65239,-4.91868,8.44399
6.0161,-0.65598,-4.89234,8.37336
6.0269,-0.64880,-4.73074,8.33745
6.0381,-0.77689,-4.73792,8.31710
6.0758,-0.92891,-4.83608,8.23331
6.0875,-0.86307,-4.71637,7.95080
6.1031,-0.65479,-4.45661,7.91250
6.1163,-0.68352,-4.23636,8.00706
6.1390,-0.92652,-4.41472,8.05734
6.1675,-1.01989,-4.48894,8.02502
6.1885,-1.14079,-4.50809,8.26922
6.2047,-1.37780,-4.72834,8.36857
6.2345,-1.49511,-4.75348,8.27041
6.2346,-1.39337,-4.50450,8.15430
6.2645,-1.41850,-4.37881,8.14951
6.2834,-1.52983,-4.44824,8.21056
6.3001,-1.53701,-4.50689,8.29795
6.3247,-1.50230,-4.49731,8.31470
6.3469,-1.50110,-4.51766,8.21894
6.3695,-1.57292,-4.52365,8.24288
6.3835,-1.63038,-4.50689,8.27999
6.4124,-1.65552,-4.46859,8.33266
6.4337,-1.72974,-4.46140,8.41166
6.4338,-1.85662,-4.57033,8.51581
6.4820,-1.81592,-4.60026,8.47750
6.4831,-1.79079,-4.52724,8.45117
6.5013,-1.83388,-4.54280,8.46074
6.5390,-1.88296,-4.62420,8.42603
6.5390,-1.87697,-4.59547,8.40329
6.5617,-1.91528,-4.54759,8.45835
6.5880,-1.90331,-4.58111,8.49905
6.6210,-1.84346,-4.60625,8.44159
6.6211,-1.82550,-4.45542,8.37097
6.6335,-1.93204,-4.45302,8.36259
6.6809,-1.97753,-4.47936,8.28358
6.6809,-1.97034,-4.38599,8.22852
6.7001,-2.02062,-4.27706,8.18303
6.7464,-1.98710,-4.16573,8.27401
6.7464,-1.94401,-4.21242,8.42483
6.7704,-2.05773,-4.25551,8.54334
6.7704,-2.12476,-4.19087,8.55412
6.7993,-1.91528,-4.08792,8.58045
6.8338,-1.79557,-3.97061,8.65586
6.8338,-1.87099,-3.84253,8.64988
6.8589,-1.79797,-3.70247,8.61995
6.8779,-1.71777,-3.74437,8.63312
6.9016,-1.74290,-3.87006,8.66424
6.9178,-1.85662,-3.79465,8.61876
6.9392,-1.82430,-3.78746,8.74325
6.9675,-1.83029,-3.87964,8.70135
6.9675,-1.98471,-3.92034,8.59960
6.9872,-1.89254,-3.73360,8.58763
7.0230,-1.81473,-3.78507,8.71332
7.0336,-1.83627,-3.67374,8.68100
7.0758,-1.81233,-3.59833,8.69896
7.0758,-1.75009,-3.57918,8.72170
7.0949,-1.71537,-3.58875,8.95034
7.1412,-1.66150,-3.54805,9.04251
7.1412,-1.91887,-3.64262,9.14665
7.1546,-1.79677,-3.50017,9.08560
7.1682,-1.53821,-3.41758,9.19573
7.1887,-1.74530,-3.44032,9.24721
7.2145,-1.67228,-3.27632,9.19214
7.2336,-1.30478,-3.02016,9.18017
7.2753,-1.31675,-3.01058,9.18616
7.2753,-1.42569,-2.94474,9.08680
7.3032,-1.21381,-2.88728,8.98505
7.3340,-1.18747,-3.23562,9.09398
7.3340,-0.99235,-2.93876,8.84859
7.3654,-1.02228,-2.74723,9.05328
7.3654,-1.06178,-2.79990,9.21489
7.3884,-1.02946,-2.69576,9.32023
7.4121,-1.47716,-3.25597,9.77510
7.4354,-1.62679,-3.62227,9.59794
7.4516,-1.30837,-3.12310,9.19932
7.4808,-1.21022,-2.79990,9.07244
7.5006,-1.60046,-3.58037,8.84380
7.5006,-1.27845,-3.35653,8.64030
7.5403,-1.12882,-2.77237,8.95632
7.5518,-1.51906,-2.60239,9.20411
7.5677,-1.44963,-2.25285,9.41599
7.5893,-1.35027,-2.26601,9.43514
7.6099,-1.37541,-1.50948,9.94150
7.6302,-1.68185,-1.04502,10.21442
7.6805,-1.94999,-1.10727,10.39997
7.6823,-2.14392,-1.48913,11.44140
7.6919,-2.76518,-2.48268,11.94296
7.7031,-2.37255,-3.79225,12.02197
7.7404,-1.22937,-5.55670,11.56230
7.7482,0.17597,-7.80835,9.80743
7.7680,1.88894,-9.61231,7.07336
7.7884,1.06537,-12.52114,7.67428
7.8094,0.08379,-13.92767,7.35347
7.8360,-0.20470,-12.26736,6.45569
7.8389,-1.12642,-11.13974,4.86002
7.8685,-0.56740,-10.78182,3.54566
7.9007,0.03112,-10.31857,3.39364
7.9007,-0.47762,-9.07004,3.06205
7.9274,-1.71298,-7.70660,2.81905
7.9402,-2.11519,-6.85311,2.68977
